Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
26/08/2015,28.2,23.1,18.1,14.1,11.3,8.9,73,48,32,1017,1012,37,5,0,0
27/08/2015,26.2,21.2,16.3,13,11.8,10.5,79,53,39,1020,1016,32,6,0,0
28/08/2015,27,21.3,15.6,14,12,9.9,82,56,37,1023,1020,22,3,0,0
29/08/2015,29.8,23.2,16.6,15.9,13.4,11.6,80,56,34,1024,1019,32,4,0,0
30/08/2015,31.8,26.7,21.6,19.9,17.5,14.6,73,60,40,1021,1016,33,5,0,0
31/08/2015,32.2,28.2,24.3,19.3,18.5,17.4,71,56,42,1018,1014,34,7,0,0
01/09/2015,31.2,26.6,22.1,19.3,18,15.7,79,61,41,1019,1015,24,4,0,0
02/09/2015,31.6,26.3,21,21.2,18.6,16.9,85,65,41,1019,1012,31,4,0,0
03/09/2015,33.4,27.1,20.8,21.3,18.2,10.6,88,60,25,1013,1010,24,3,0,0
04/09/2015,27.6,24.5,21.3,19.4,18.2,15.8,77,67,53,1024,1012,31,5,0,0
05/09/2015,27.3,22.4,17.5,16.4,12.9,2,80,60,21,1027,1023,32,4,0,0
06/09/2015,29.1,22.4,15.7,16.1,13.9,10.2,93,62,35,1025,1020,38,4,0,0
07/09/2015,32.3,26.2,20.1,20.6,17.2,13.4,82,62,35,1021,1015,28,6,0,0
08/09/2015,35,29.4,23.8,21.1,18.6,16.7,73,56,36,1018,1013,28,6,0,0
09/09/2015,31.1,27.6,24.1,22.4,20.9,18.9,83,70,57,1016,1010,30,6,0,0
10/09/2015,25.9,23.1,20.2,21.6,20.5,19.4,95,90,72,1012,1006,24,4,0,0
11/09/2015,27.2,22.4,17.6,19.4,16,14.2,94,72,46,1011,1006,39,4,0,0
12/09/2015,25.1,21.3,17.6,19.7,18,16.1,95,81,59,1011,1004,29,5,0,0
13/09/2015,25.6,21.1,16.6,19.3,14.8,9,94,70,46,1012,1004,39,6,0,0
