Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
16/08/2015,33.9,27.7,21.6,22.9,19.3,17.3,80,64,40,1019,1016,8,1,10,0
17/08/2015,33.6,27.9,22.1,23.1,20.4,18.8,84,65,48,1019,1015,10,1,10,0
18/08/2015,32.2,27.9,23.7,23.1,20.8,14.7,89,69,38,1016,1013,11,1,18,0
19/08/2015,29.8,26.6,23.3,24.6,23.3,21.8,95,87,72,1016,1015,13,1,16,0
20/08/2015,29.8,26.6,23.5,24.9,23.6,22.8,96,87,69,1016,1013,23,1,23,0
21/08/2015,31.6,26.2,20.9,23.6,19.7,14.1,97,74,38,1017,1012,11,1,11,3.1
22/08/2015,30.2,24.9,19.5,15.4,13.7,11.1,69,53,35,1019,1016,14,1,16,0
23/08/2015,27.9,23.1,18.4,21.1,18.4,12.7,92,75,58,1016,1012,8,0,10,0
24/08/2015,28.9,24.1,19.3,21.4,19.4,17.3,97,77,52,1013,1009,10,1,11,0
25/08/2015,32.1,27.2,22.2,23.5,18.8,11.9,89,66,38,1012,1008,16,1,16,0.03
26/08/2015,28.2,22.4,16.7,14.1,12.8,11.4,80,56,36,1015,1012,16,2,18,0
27/08/2015,27.2,21.8,16.3,14.7,13.4,12,86,61,40,1019,1015,14,1,14,0
28/08/2015,27.9,21.6,15.3,16.5,13.3,11.5,86,63,39,1022,1019,14,1,14,0
29/08/2015,28.2,22,15.7,19.3,15.9,13.8,90,69,45,1022,1018,10,1,10,0
30/08/2015,31,24.9,18.9,22.5,18.9,16.3,88,69,48,1019,1015,11,1,11,0
31/08/2015,33.1,28.2,23.2,21.8,20,18.5,83,65,43,1016,1013,10,1,18,0
01/09/2015,29.9,25.8,21.8,21.8,20.4,18.9,92,73,54,1017,1015,10,1,10,0.05
02/09/2015,30.9,25.1,19.2,23.1,21.1,18.3,97,80,59,1017,1011,11,1,11,0
03/09/2015,33.7,27.3,20.8,22,20.2,17.5,93,71,40,1011,1009,10,0,10,0
04/09/2015,28.2,24.8,21.4,22.7,20.5,18,88,78,68,1022,1011,10,1,11,0
05/09/2015,26.3,21.9,17.6,18.2,16.6,14.9,89,74,51,1025,1022,8,1,13,0
06/09/2015,27.5,21.2,14.8,18.3,15.8,12.4,96,74,41,1023,1020,8,1,10,0
07/09/2015,32.9,25.4,18,21.7,18.2,16.1,96,69,40,1020,1015,18,1,18,0
08/09/2015,34.4,27.9,21.5,23.2,20.4,19.1,89,67,42,1016,1012,11,1,11,0
09/09/2015,32.9,28,23.1,24.4,22.7,20.3,93,84,57,1014,1009,11,1,14,2.51
10/09/2015,25.3,22.9,20.6,23.6,21.6,19.9,96,94,85,1010,1005,8,0,8,2.64
11/09/2015,27.9,23.1,18.4,19.9,18,16.7,96,80,51,1009,1004,10,1,16,0.03
