Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
16/09/2015,30.8,24,17.3,16.7,14.7,11.9,83,60,33,1025,1021,13,2,18,0
17/09/2015,30.7,24.3,18.1,16.8,15.1,12.3,83,60,33,1021,1016,19,3,23,0
18/09/2015,29.3,23.6,17.9,19,15.7,13.3,84,63,40,1019,1015,19,4,23,0
19/09/2015,26.7,23.2,19.6,21.1,19,16.9,92,79,61,1018,1014,32,10,32,0
20/09/2015,24.9,21.8,18.6,20.4,12.2,6.2,89,57,33,1020,1014,34,10,34,0
21/09/2015,21.8,18.6,15.2,10.9,8.6,5.2,70,53,35,1024,1019,24,6,37,0
22/09/2015,21,18.6,16.2,14.9,11.8,8.1,78,65,48,1026,1024,29,4,29,0
23/09/2015,27.1,21.1,15.1,14.3,11.5,3.9,83,64,23,1026,1023,19,3,24,0
24/09/2015,27.6,21.4,15.2,16.4,12.7,9.2,84,62,35,1028,1024,21,3,26,0
25/09/2015,22.7,20.2,17.7,14.8,13.3,10.8,81,67,52,1030,1027,26,4,31,0
26/09/2015,22.3,19,15.8,13.3,11.1,8.1,80,63,45,1032,1028,23,4,34,0
27/09/2015,20.5,16.7,12.9,15.2,12.3,9.3,89,75,66,1032,1028,19,3,24,0
28/09/2015,26.3,21.3,16.4,20.1,17.9,14.7,93,85,66,1028,1023,18,2,19,0.05
29/09/2015,26.8,23.8,20.7,22.4,21.2,19.6,96,89,74,1023,1015,16,2,24,0.28
30/09/2015,25.1,20.6,16,23.3,19.6,10.8,97,88,71,1017,1008,34,7,50,2.39
01/10/2015,16.7,14.6,12.5,13.1,10.9,8.6,91,80,69,1024,1017,27,7,40,0.3
02/10/2015,14.3,11.7,9.2,11.1,8.9,8.1,94,89,79,1027,1023,37,10,53,4.27
03/10/2015,12.8,11.2,9.7,9.8,9.1,8.6,95,89,78,1031,1025,37,10,50,1.32
04/10/2015,17.7,14.8,11.9,9.9,8.3,7.2,83,70,52,1030,1027,26,8,40,0
05/10/2015,18.5,14.8,11.1,10.9,9,7.2,80,72,57,1027,1021,24,5,31,0
06/10/2015,23.7,17.1,10.6,12.7,9.6,6.3,92,65,38,1022,1014,14,2,18,0
07/10/2015,23.6,19.2,14.9,12.4,11.6,10.7,82,66,48,1016,1013,16,2,21,0
08/10/2015,21.3,17.5,13.7,14.6,12.1,10.4,91,74,54,1019,1016,16,2,23,0
09/10/2015,25.7,20.6,15.6,18.7,16.2,12.4,95,84,62,1018,1007,29,4,51,0.84
10/10/2015,18.9,14.9,11,12.3,6.2,2.9,76,60,35,1020,1011,23,3,31,0
11/10/2015,21.7,15.7,9.8,12.3,8.6,6.7,84,67,42,1016,1008,16,3,24,0
12/10/2015,24.8,18.3,11.7,14,11.2,8.1,87,69,35,1010,1005,19,3,26,0
13/10/2015,22.8,19.3,15.7,16.7,14.4,11.8,92,76,62,1005,998,21,3,26,0
14/10/2015,20.9,17.7,14.5,12,9.1,6.5,72,59,48,1009,1003,21,4,24,0
15/10/2015,18.6,14.7,10.8,6.8,5.5,4.2,73,56,39,1014,1009,19,3,26,0
16/10/2015,17.9,14.9,12.1,9.7,5.7,2.4,79,56,37,1014,1010,21,3,26,0
17/10/2015,13.7,10,6.3,5.4,-0.2,-6,73,50,30,1020,1014,19,4,29,0
18/10/2015,10.3,6.8,3.4,-1.6,-4.1,-7.6,64,49,29,1030,1020,21,4,29,0
19/10/2015,12.1,7.1,2.2,1.1,-2.4,-4,68,53,35,1032,1025,21,3,32,0
20/10/2015,22.1,15.4,8.7,6.3,3.8,0.4,68,51,31,1025,1020,27,6,39,0
21/10/2015,24.3,18,11.7,13.6,9.1,5.7,86,61,35,1026,1023,14,3,24,0
22/10/2015,23.6,18.3,12.9,11.6,10.3,9.2,79,61,42,1024,1017,24,4,27,0
23/10/2015,19.3,13.8,8.3,11.8,3.2,-0.7,65,51,33,1028,1019,26,5,31,0
24/10/2015,13.3,9.5,5.7,9.4,4.6,0.4,78,70,58,1029,1023,16,3,23,0
25/10/2015,20.9,15.8,10.7,13.2,9.6,2.2,91,71,50,1026,1017,21,5,32,0.05
26/10/2015,15.1,10.9,6.8,4.2,2.4,-1,80,59,36,1033,1026,24,2,26,0
27/10/2015,14.3,10.4,6.7,7.1,5.1,2.2,82,69,56,1035,1032,13,2,18,0
28/10/2015,19.8,15.1,10.5,19.1,13.3,6.8,96,89,77,1033,1007,35,8,55,2.67
29/10/2015,22.9,19,15,19.2,11,1.5,96,66,33,1008,1003,34,7,43,0.94
30/10/2015,16.3,12.9,9.4,4.3,1.3,-0.6,56,46,36,1020,1008,23,5,29,0
31/10/2015,12.9,9.2,5.4,6.7,2.2,-0.3,74,61,46,1024,1019,16,2,27,0
01/11/2015,18.5,14.6,10.7,12.5,9.9,4.9,84,74,63,1020,1012,21,4,31,0
02/11/2015,17.8,14,10.3,11.8,8.3,5.8,90,71,50,1022,1017,11,1,19,0
03/11/2015,23.9,15.9,7.9,12.2,8.7,6.7,93,70,35,1027,1022,14,1,18,0
